transaction_id,customer_id,amount,payment_method,failure_reason,previous_transactions,previous_failures,retry_count,customer_type,payment_status,recovered
TXN00001,CUST0767,1499,UPI,Card Declined,22,5,3,Loyal,Recovered,Yes
TXN00002,CUST0994,199,UPI,Insufficient Balance,20,4,1,Loyal,Failed,No
TXN00003,CUST0887,299,Card,Authentication Failed,11,5,0,Regular,Recovered,Yes
TXN00004,CUST0912,1499,NetBanking,Authentication Failed,2,0,2,New,Failed,No
TXN00005,CUST0634,999,Card,Insufficient Balance,18,5,3,Loyal,Failed,No
TXN00006,CUST0490,1999,UPI,Network Error,14,3,2,Regular,Recovered,Yes
TXN00007,CUST0970,2499,NetBanking,Network Error,26,2,2,Loyal,Recovered,Yes
TXN00008,CUST0852,4999,NetBanking,Authentication Failed,15,0,3,Loyal,Recovered,Yes
TXN00009,CUST0305,1499,Card,Network Error,25,0,1,Loyal,Failed,No
TXN00010,CUST0764,999,Card,Card Declined,2,1,0,New,Recovered,Yes
TXN00011,CUST0681,4999,Card,Network Error,28,3,2,Loyal,Recovered,Yes
TXN00012,CUST0704,499,UPI,Bank Timeout,19,5,1,Loyal,Recovered,Yes
TXN00013,CUST0472,4999,UPI,Card Declined,9,2,3,Regular,Failed,No
TXN00014,CUST0781,4999,Card,Authentication Failed,9,2,3,Regular,Recovered,Yes
TXN00015,CUST0983,4999,NetBanking,Insufficient Balance,25,2,2,Loyal,Failed,No
TXN00016,CUST0371,799,Wallet,Insufficient Balance,3,0,0,New,Recovered,Yes
TXN00017,CUST0186,4999,Card,Network Error,11,4,2,Regular,Recovered,Yes
TXN00018,CUST0882,1499,NetBanking,Network Error,8,2,0,Regular,Recovered,Yes
TXN00019,CUST0551,4999,Wallet,Authentication Failed,28,3,1,Loyal,Failed,No
TXN00020,CUST0840,1499,NetBanking,Network Error,8,0,0,Regular,Recovered,Yes
TXN00021,CUST0885,799,UPI,Insufficient Balance,22,1,2,Loyal,Recovered,Yes
TXN00022,CUST0840,799,Card,Card Declined,26,4,1,Loyal,Failed,No
TXN00023,CUST0031,499,Wallet,Network Error,18,3,1,Loyal,Recovered,Yes
