transaction_id,amount,recovery_probability,retry_count,ai_decision,expected_recovery
TXN00001,1499,78.0,3,STOP,1169.22
TXN00002,199,28.999999999999996,1,STOP,57.709999999999994
TXN00003,299,100.0,0,RETRY,299.0
TXN00004,1499,32.0,2,STOP,479.68
TXN00005,999,14.000000000000002,3,STOP,139.86
TXN00006,1999,90.0,2,STOP,1799.1
TXN00007,2499,78.0,2,STOP,1949.22
TXN00008,4999,89.0,3,STOP,4449.11
TXN00009,1499,77.0,1,RETRY,1154.23
TXN00010,999,89.0,0,RETRY,889.11
TXN00011,4999,85.0,2,STOP,4249.15
TXN00012,499,89.0,1,RETRY,444.11
TXN00013,4999,40.0,3,STOP,1999.6
TXN00014,4999,50.19999999999999,3,STOP,2509.497999999999
TXN00015,4999,12.0,2,STOP,599.88
TXN00016,799,83.0,0,RETRY,663.17
TXN00017,4999,82.0,2,STOP,4099.18
TXN00018,1499,53.0,0,PAYMENT LINK,794.47
TXN00019,4999,31.0,1,STOP,1549.69
TXN00020,1499,74.0,0,PAYMENT LINK,1109.26
TXN00021,799,80.0,2,STOP,639.2
TXN00022,799,19.0,1,STOP,151.81
TXN00023,499,83.5,1,RETRY,416.665
TXN00024,1499,42.0,2,STOP,629.58
TXN00025,199,88.0,2,STOP,175.12
TXN00026,1999,98.0,0,RETRY,1959.02
TXN00027,4999,69.1,1,PAYMENT LINK,3454.3089999999997
TXN00028,499,78.0,2,STOP,389.22
TXN00029,4999,76.0,2,STOP,3799.24
TXN00030,499,77.4,2,STOP,386.22600000000006
TXN00031,2499,28.999999999999996,3,STOP,724.7099999999998
TXN00032,4999,17.0,2,STOP,849.83
TXN00033,499,24.0,1,STOP,119.76
TXN00034,999,78.0,3,STOP,779.22
TXN00035,799,37.0,0,STOP,295.63
TXN00036,499,23.0,1,STOP,114.77
TXN00037,499,73.0,3,STOP,364.27
TXN00038,2499,12.0,1,STOP,299.88
TXN00039,299,30.333333333333336,2,STOP,90.69666666666667
TXN00040,1999,28.999999999999996,3,STOP,579.7099999999999
TXN00041,9999,90.0,0,RETRY,8999.1
TXN00042,9999,15.0,0,STOP,1499.85
TXN00043,2499,25.0,1,STOP,624.75
TXN00044,199,66.0,1,PAYMENT LINK,131.34
TXN00045,2499,98.0,0,RETRY,2449.02
TXN00046,299,93.0,0,RETRY,278.07
TXN00047,499,72.0,3,STOP,359.28
TXN00048,1999,55.00000000000001,3,STOP,1099.45
TXN00049,499,78.0,3,STOP,389.22
TXN00050,1999,79.0,2,STOP,1579.21
TXN00051,1999,93.0,2,STOP,1859.07
TXN00052,2499,87.0,1,RETRY,2174.13
TXN00053,199,20.0,0,STOP,39.8
TXN00054,1999,89.0,2,STOP,1779.11
TXN00055,4999,75.5,2,STOP,3774.245
TXN00056,999,6.0,2,STOP,59.94
TXN00057,799,12.0,3,STOP,95.88
TXN00058,199,78.0,1,RETRY,155.22
TXN00059,9999,85.0,1,RETRY,8499.15
TXN00060,1999,10.0,2,STOP,199.9
TXN00061,199,95.4,3,STOP,189.84600000000003
TXN00062,1499,18.0,2,STOP,269.82
TXN00063,199,99.0,3,STOP,197.01
TXN00064,299,88.0,3,STOP,263.12
TXN00065,1499,19.333333333333332,1,STOP,289.8066666666666
TXN00066,1999,87.5,0,RETRY,1749.125
TXN00067,9999,71.0,1,PAYMENT LINK,7099.29
TXN00068,499,79.0,2,STOP,394.21
TXN00069,9999,44.0,0,PAYMENT LINK,4399.56
TXN00070,999,73.0,3,STOP,729.27
TXN00071,1999,83.0,1,RETRY,1659.17
TXN00072,199,19.0,1,STOP,37.81
TXN00073,1999,99.0,0,RETRY,1979.01
TXN00074,9999,28.999999999999996,0,STOP,2899.7099999999996
TXN00075,199,82.0,3,STOP,163.18
TXN00076,299,86.0,3,STOP,257.14
TXN00077,1999,68.0,2,STOP,1359.32
TXN00078,1499,12.0,1,STOP,179.88
TXN00079,499,17.0,1,STOP,84.83
TXN00080,4999,74.0,1,PAYMENT LINK,3699.26
TXN00081,299,68.0,0,PAYMENT LINK,203.32
TXN00082,499,92.0,2,STOP,459.08
TXN00083,199,82.0,2,STOP,163.18
TXN00084,199,91.0,1,RETRY,181.09
TXN00085,2499,77.0,0,RETRY,1924.23
TXN00086,299,91.0,0,RETRY,272.09
TXN00087,499,87.0,3,STOP,434.13
TXN00088,999,95.0,0,RETRY,949.05
TXN00089,4999,90.0,1,RETRY,4499.1
TXN00090,499,96.0,0,RETRY,479.04
TXN00091,9999,55.00000000000001,3,STOP,5499.450000000001
TXN00092,299,95.0,2,STOP,284.05
